Name;Team;Position;Heigth;Weigth;Age
Nate McLouth;PIT;Shooting Guard;75.10;176.70;25.34
Chris Duffy;PIT;Shooting Guard;74.04;161.50;26.86
Rajai Davis;PIT;Shooting Guard;75.10;187.15;26.36
Shane Youman;PIT;Point Guard;80.38;208.05;27.39
Yoslan Herrera;PIT;Point Guard;78.27;190.00;25.84
Josh Shortslef;PIT;Point Guard;80.38;209.00;25.08
Zach Duke;PIT;Point Guard;78.27;196.65;23.87
Paul Maholm;PIT;Point Guard;78.27;213.75;24.68
Tom Gorzelanny;PIT;Point Guard;78.27;196.65;24.64
Shawn Chacon;PIT;Point Guard;79.33;201.40;29.19
Tony Armas Jr.;PIT;Point Guard;79.33;213.75;28.84
Ian Snell;PIT;Point Guard;75.10;161.50;25.33
Sean Burnett;PIT;Point Guard;75.10;180.50;24.45
John Grabow;PIT;Center;78.27;199.50;28.32
Marty McLeary;PIT;Center;81.44;218.50;32.34
Salomon Torres;PIT;Center;75.10;199.50;34.97
Damaso Marte;PIT;Center;78.27;190.00;32.04
Matt Capps;PIT;Center;79.33;226.10;23.49
Josh Sharpless;PIT;Center;81.44;222.30;26.09
Bryan Bullington;PIT;Center;80.38;210.90;26.41
Jonah Bayliss;PIT;Center;78.27;190.00;26.55
Brian Rogers;PIT;Center;80.38;180.50;24.62
Juan Perez;PIT;Center;76.15;161.50;28.49
Bengie Molina;SF;Point Guard;75.10;209.00;32.61
Eliezer Alfonzo;SF;Point Guard;76.15;211.85;28.06
Lance Niekro;SF;Center;79.33;199.50;28.08
Mark Sweeney;SF;Center;77.21;204.25;37.34
Ray Durham;SF;Small Forward;71.92;186.20;35.25
Kevin Frandsen;SF;Small Forward;76.15;166.25;24.77
Omar Vizquel;SF;Power Forward;72.98;166.25;39.85
Rich Aurilia;SF;Small Forward;77.21;179.55;35.49
Pedro Feliz;SF;Small Forward;77.21;194.75;31.84
Todd Linden;SF;Shooting Guard;79.33;199.50;26.67
Dave Roberts;SF;Shooting Guard;74.04;171.00;34.75
Jason Ellison;SF;Shooting Guard;74.04;171.00;28.91
Randy Winn;SF;Shooting Guard;78.27;187.15;32.73
Ryan Klesko;SF;Shooting Guard;79.33;209.00;35.72
Barry Bonds;SF;Shooting Guard;78.27;216.60;42.6
Fred Lewis;SF;Shooting Guard;78.27;180.50;26.22
Kelyn Acosta;SF;Point Guard;77.21;193.80;21.85
Jonathan Sanchez;SF;Point Guard;78.27;156.75;24.28
Matt Cain;SF;Point Guard;79.33;205.20;22.41
Matt Morris;SF;Point Guard;81.44;209.00;32.56
Russ Ortiz;SF;Point Guard;77.21;197.60;32.74
Noah Lowry;SF;Point Guard;78.27;199.50;26.39
Barry Zito;SF;Point Guard;80.38;204.25;28.8
Vinnie Chulk;SF;Center;78.27;185.25;28.2
Kevin Correia;SF;Center;79.33;190.00;26.52
Steve Kline;SF;Center;77.21;204.25;34.52
Armando Benitez;SF;Center;80.38;217.55;34.32
Scott Munter;SF;Center;82.50;228.00;26.98
Jack Taschner;SF;Center;79.33;196.65;28.86
Brian Wilson;SF;Center;77.21;194.75;24.96
Merkin Valdez;SF;Center;81.44;197.60;25.3
Brad Hennessey;SF;Center;78.27;175.75;27.06
Billy Sadler;SF;Center;76.15;180.50;25.44
Pat Misch;SF;Center;78.27;161.50;25.53
Gary Bennett;STL;Point Guard;76.15;197.60;34.87
Yadier Molina;STL;Point Guard;75.10;213.75;24.63
John Nelson;STL;Center;77.21;180.50;27.99
Albert Pujols;STL;Center;79.33;213.75;27.12
Adam Kennedy;STL;Small Forward;77.21;175.75;31.14
Aaron Miles;STL;Small Forward;70.87;171.00;30.21
David Eckstein;STL;Power Forward;70.87;156.75;32.11
Scott Rolen;STL;Small Forward;80.38;228.00;31.91
Scott Spiezio;STL;Small Forward;78.27;209.00;34.44
Jim Edmonds;STL;Shooting Guard;77.21;201.40;36.68
So Taguchi;STL;Shooting Guard;74.04;154.85;37.66
Juan Encarnacion;STL;Shooting Guard;79.33;204.25;30.98
Skip Schumaker;STL;Shooting Guard;74.04;166.25;27.07
John Rodriguez;STL;Shooting Guard;76.15;194.75;29.11
Chris Duncan;STL;Shooting Guard;81.44;199.50;25.82
Adam Wainwright;STL;Point Guard;83.56;194.75;25.5
Mark Mulder;STL;Point Guard;82.50;197.60;29.57
Anthony Reyes;STL;Point Guard;78.27;204.25;25.37
Ryan Franklin;STL;Point Guard;79.33;171.00;33.99
Kip Wells;STL;Point Guard;79.33;190.00;29.86
Chris Carpenter;STL;Point Guard;82.50;218.50;31.84
Russ Springer;STL;Center;80.38;200.45;38.31
Jason Isringhausen;STL;Center;79.33;218.50;34.48
Ricardo Rincon;STL;Center;72.98;180.50;36.88
Braden Looper;STL;Center;79.33;209.00;32.34
Randy Flores;STL;Center;76.15;171.00;31.58
Josh Hancock;STL;Center;79.33;194.75;28.89
Brad Thompson;STL;Center;77.21;180.50;25.08
Tyler Johnson;STL;Center;78.27;171.00;25.73
Chris Narveson;STL;Center;79.33;194.75;25.19
Randy Keisler;STL;Center;79.33;180.50;31.01
Josh Kinney;STL;Center;77.21;185.25;27.92
